zip,num_stations,num_incidents,incidents_to_stations_ratio,timestamp
37013,3,0.0,0.0,Nov-15hr-08min
37072,2,1.0,0.5,Nov-15hr-08min
37076,1,3.0,3.0,Nov-15hr-08min
37080,1,2.0,2.0,Nov-15hr-08min
37115,2,3.0,1.5,Nov-15hr-08min
37138,1,0.0,0.0,Nov-15hr-08min
37203,2,3.0,1.5,Nov-15hr-08min
37204,1,0.0,0.0,Nov-15hr-08min
37205,2,0.0,0.0,Nov-15hr-08min
37206,2,2.0,1.0,Nov-15hr-08min
37207,3,0.0,0.0,Nov-15hr-08min
37208,1,2.0,2.0,Nov-15hr-08min
37209,2,11.0,5.5,Nov-15hr-08min
37210,2,0.0,0.0,Nov-15hr-08min
37211,4,5.0,1.25,Nov-15hr-08min
37212,2,3.0,1.5,Nov-15hr-08min
37214,2,1.0,0.5,Nov-15hr-08min
37215,1,3.0,3.0,Nov-15hr-08min
37216,1,1.0,1.0,Nov-15hr-08min
37217,1,0.0,0.0,Nov-15hr-08min
37218,1,2.0,2.0,Nov-15hr-08min
37221,2,4.0,2.0,Nov-15hr-08min
37013,3,0.0,0.0,Nov-15hr-14min
37072,2,1.0,0.5,Nov-15hr-14min
37076,1,0.0,0.0,Nov-15hr-14min
37080,1,2.0,2.0,Nov-15hr-14min
37115,2,2.0,1.0,Nov-15hr-14min
37138,1,0.0,0.0,Nov-15hr-14min
37203,2,0.0,0.0,Nov-15hr-14min
37204,1,0.0,0.0,Nov-15hr-14min
37205,2,0.0,0.0,Nov-15hr-14min
37206,2,4.0,2.0,Nov-15hr-14min
37207,3,0.0,0.0,Nov-15hr-14min
37208,1,0.0,0.0,Nov-15hr-14min
37209,2,9.0,4.5,Nov-15hr-14min
37210,2,0.0,0.0,Nov-15hr-14min
37211,4,4.0,1.0,Nov-15hr-14min
37212,2,4.0,2.0,Nov-15hr-14min
37214,2,1.0,0.5,Nov-15hr-14min
37215,1,3.0,3.0,Nov-15hr-14min
37216,1,1.0,1.0,Nov-15hr-14min
37217,1,0.0,0.0,Nov-15hr-14min
37218,1,2.0,2.0,Nov-15hr-14min
37221,2,4.0,2.0,Nov-15hr-14min
37013,3,0.0,0.0,Nov-15hr-19min
37072,2,1.0,0.5,Nov-15hr-19min
37076,1,0.0,0.0,Nov-15hr-19min
37080,1,2.0,2.0,Nov-15hr-19min
37115,2,5.0,2.5,Nov-15hr-19min
37138,1,0.0,0.0,Nov-15hr-19min
37203,2,2.0,1.0,Nov-15hr-19min
37204,1,0.0,0.0,Nov-15hr-19min
37205,2,0.0,0.0,Nov-15hr-19min
37206,2,2.0,1.0,Nov-15hr-19min
37207,3,0.0,0.0,Nov-15hr-19min
37208,1,0.0,0.0,Nov-15hr-19min
37209,2,9.0,4.5,Nov-15hr-19min
37210,2,0.0,0.0,Nov-15hr-19min
37211,4,5.0,1.25,Nov-15hr-19min
37212,2,4.0,2.0,Nov-15hr-19min
37214,2,1.0,0.5,Nov-15hr-19min
37215,1,1.0,1.0,Nov-15hr-19min
37216,1,1.0,1.0,Nov-15hr-19min
37217,1,0.0,0.0,Nov-15hr-19min
37218,1,2.0,2.0,Nov-15hr-19min
37221,2,4.0,2.0,Nov-15hr-19min
37013,3,0.0,0.0,Nov-15hr-25min
37072,2,3.0,1.5,Nov-15hr-25min
37076,1,1.0,1.0,Nov-15hr-25min
37080,1,2.0,2.0,Nov-15hr-25min
37115,2,5.0,2.5,Nov-15hr-25min
37138,1,0.0,0.0,Nov-15hr-25min
37203,2,2.0,1.0,Nov-15hr-25min
37204,1,0.0,0.0,Nov-15hr-25min
37205,2,0.0,0.0,Nov-15hr-25min
37206,2,2.0,1.0,Nov-15hr-25min
37207,3,0.0,0.0,Nov-15hr-25min
37208,1,0.0,0.0,Nov-15hr-25min
37209,2,10.0,5.0,Nov-15hr-25min
37210,2,0.0,0.0,Nov-15hr-25min
37211,4,6.0,1.5,Nov-15hr-25min
37212,2,0.0,0.0,Nov-15hr-25min
37214,2,1.0,0.5,Nov-15hr-25min
37215,1,1.0,1.0,Nov-15hr-25min
37216,1,1.0,1.0,Nov-15hr-25min
37217,1,2.0,2.0,Nov-15hr-25min
37218,1,2.0,2.0,Nov-15hr-25min
37221,2,4.0,2.0,Nov-15hr-25min
37013,3,0.0,0.0,Nov-15hr-30min
37072,2,3.0,1.5,Nov-15hr-30min
37076,1,1.0,1.0,Nov-15hr-30min
37080,1,0.0,0.0,Nov-15hr-30min
37115,2,3.0,1.5,Nov-15hr-30min
37138,1,0.0,0.0,Nov-15hr-30min
37203,2,2.0,1.0,Nov-15hr-30min
37204,1,0.0,0.0,Nov-15hr-30min
37205,2,0.0,0.0,Nov-15hr-30min
37206,2,2.0,1.0,Nov-15hr-30min
37207,3,0.0,0.0,Nov-15hr-30min
37208,1,0.0,0.0,Nov-15hr-30min
37209,2,5.0,2.5,Nov-15hr-30min
37210,2,0.0,0.0,Nov-15hr-30min
37211,4,19.0,4.75,Nov-15hr-30min
37212,2,0.0,0.0,Nov-15hr-30min
37214,2,1.0,0.5,Nov-15hr-30min
37215,1,1.0,1.0,Nov-15hr-30min
37216,1,2.0,2.0,Nov-15hr-30min
37217,1,2.0,2.0,Nov-15hr-30min
37218,1,2.0,2.0,Nov-15hr-30min
37221,2,6.0,3.0,Nov-15hr-30min
